n,flops_per_sec
322,2.18672e+09
323,2.17332e+09
324,2.13747e+09
325,2.19333e+09
326,2.19735e+09
327,2.21178e+09
328,2.20447e+09
329,2.20353e+09
330,1.91585e+09
331,2.19327e+09
332,2.20225e+09
333,2.19939e+09
334,2.19811e+09
335,2.19808e+09
336,2.19572e+09
337,2.18904e+09
338,2.18917e+09
339,1.98061e+09
340,1.9179e+09
341,2.18212e+09
342,2.17542e+09
343,2.17497e+09
344,1.97298e+09
345,2.119e+09
346,2.17964e+09
347,2.16846e+09
348,2.1739e+09
349,1.84823e+09
350,1.94699e+09
351,2.04995e+09
352,2.04279e+09
353,2.04274e+09
354,2.05083e+09
355,2.04733e+09
356,1.88848e+09
357,1.9471e+09
358,1.82877e+09
359,2.158e+09
360,2.15403e+09
361,2.15287e+09
362,2.15568e+09
363,2.1451e+09
364,2.14314e+09
365,2.1422e+09
366,2.13633e+09
367,2.1388e+09
368,2.05941e+09
369,2.13305e+09
370,2.14741e+09
371,2.13972e+09
372,2.13905e+09
373,2.13523e+09
374,1.81212e+09
375,2.13658e+09
376,2.12894e+09
377,2.12805e+09
378,2.01305e+09
379,2.10975e+09
380,2.12326e+09
381,2.12105e+09
382,2.12508e+09
383,2.12549e+09
384,2.12486e+09
385,2.09741e+09
386,2.09946e+09
387,2.09825e+09
388,2.10379e+09
389,1.91215e+09
390,2.01289e+09
391,2.11673e+09
392,2.11478e+09
393,2.10908e+09
394,2.11622e+09
395,2.10548e+09
396,2.11023e+09
397,2.10889e+09
398,2.10373e+09
399,2.10732e+09
400,2.10725e+09
401,2.09448e+09
402,2.10587e+09
403,2.10193e+09
404,2.01792e+09
405,2.09873e+09
406,2.10016e+09
407,2.10327e+09
408,2.09828e+09
409,2.01329e+09
410,2.09275e+09
411,2.08998e+09
412,2.09154e+09
413,2.07793e+09
414,1.87443e+09
415,1.92909e+09
416,1.91022e+09
417,1.89378e+09
418,2.02038e+09
419,1.89821e+09
420,1.97151e+09
421,1.96659e+09
422,1.96972e+09
423,1.86933e+09
424,1.96062e+09
425,1.96586e+09
426,1.96828e+09
427,1.81583e+09
428,1.81607e+09
429,1.93994e+09
430,1.95901e+09
431,1.85895e+09
432,1.92911e+09
433,1.90301e+09
434,1.84611e+09
435,1.92765e+09
436,2.06928e+09
437,2.07221e+09
438,1.8935e+09
439,1.98339e+09
440,1.96096e+09
441,2.06449e+09
442,1.82735e+09
443,2.02442e+09
444,2.0683e+09
445,2.06665e+09
446,1.83791e+09
447,2.06597e+09
448,2.06413e+09
449,2.03876e+09
450,1.85084e+09
451,1.93684e+09
452,1.56443e+09
453,1.87962e+09
454,2.01655e+09
455,2.05088e+09
456,1.93541e+09
457,1.72505e+09
458,2.0582e+09
459,2.05517e+09
460,1.92515e+09
461,2.05518e+09
462,2.05281e+09
463,1.79932e+09
464,2.04499e+09
465,2.04117e+09
466,1.9085e+09
467,1.89934e+09
468,2.04403e+09
469,1.88279e+09
470,1.93043e+09
471,1.71357e+09
472,1.90095e+09
473,2.03781e+09
474,2.03679e+09
475,2.0335e+09
476,1.95454e+09
477,2.0421e+09
478,2.03723e+09
479,1.87445e+09
480,1.93149e+09
481,2.03234e+09
482,1.84858e+09
483,2.036e+09
484,1.98139e+09
485,1.93734e+09
486,1.74834e+09
487,1.91519e+09
488,2.02959e+09
489,1.89842e+09
490,2.02875e+09
491,2.02954e+09
492,1.937e+09
493,1.92905e+09
494,2.02137e+09
495,2.02898e+09
496,1.92077e+09
497,1.83735e+09
498,2.02618e+09
499,1.99944e+09
500,2.02368e+09
501,2.02292e+09
502,1.81904e+09
503,2.02203e+09
504,2.01878e+09
505,1.93066e+09
506,2.02046e+09
507,1.93127e+09
508,1.84621e+09
509,1.86718e+09
510,2.01168e+09
511,1.85655e+09
512,2.01838e+09
