n,write_bw,read_bw
32,28155672.828032,467398574.851127
64,220534970.012452,862488584.341552
128,313058232.364797,1445835642.746454
256,326969556.132236,1800922654.407866
512,477183056.513180,2675278484.478730
1024,716579553.754393,4207018136.145307
2048,951643383.032785,4966488822.188217
4096,860289744.556839,4757143786.480210
8192,1114586293.176832,4513915408.294976
16384,1295156705.447829,1917410204.831458
