n,row_time,col_time
16,0.000313958,1.96667e-05
32,0.000598042,2.27637e-05
64,0.0011324,2.44863e-05
128,0.00189488,1.64027e-05
256,0.00319819,5.78887e-05
512,0.00496369,0.000171403
1024,0.00719763,0.000611792
2048,0.0141997,0.000627445
4096,0.0308087,0.000678167
8192,0.102913,0.000326431
