n,flops_per_sec
321,2.05592e+09
322,2.06015e+09
323,2.05241e+09
324,2.04634e+09
325,2.05808e+09
326,2.04687e+09
327,2.04637e+09
328,2.04466e+09
329,2.04554e+09
330,2.04178e+09
331,2.03018e+09
332,2.04295e+09
333,2.03693e+09
334,2.04347e+09
335,1.99905e+09
336,1.99095e+09
337,2.03221e+09
338,2.03795e+09
339,2.03833e+09
340,2.03101e+09
341,2.03125e+09
342,2.03219e+09
343,2.02949e+09
344,2.03124e+09
345,2.02885e+09
346,2.02894e+09
347,2.02581e+09
348,2.03004e+09
349,2.02422e+09
350,2.02458e+09
351,2.01675e+09
352,2.02006e+09
353,2.00659e+09
354,2.01882e+09
355,2.0149e+09
356,2.02081e+09
357,2.01679e+09
358,2.01307e+09
359,2.01285e+09
360,2.01625e+09
361,1.99887e+09
362,2.00756e+09
363,2.00257e+09
364,2.00711e+09
365,2.00793e+09
366,1.69371e+09
367,1.98918e+09
368,1.99914e+09
369,1.99738e+09
370,1.98803e+09
371,1.99061e+09
372,1.99884e+09
373,1.99794e+09
374,1.99801e+09
375,2.00322e+09
376,2.00133e+09
377,1.97857e+09
378,1.98637e+09
379,1.99122e+09
380,1.98726e+09
381,1.98913e+09
382,1.98344e+09
383,1.98775e+09
384,1.98013e+09
385,1.97368e+09
386,1.97234e+09
387,1.9827e+09
388,1.98039e+09
389,1.98164e+09
390,1.94633e+09
391,1.97655e+09
392,1.97205e+09
393,1.97294e+09
394,1.97488e+09
395,1.95931e+09
396,1.9653e+09
397,1.96523e+09
398,1.97253e+09
399,1.96417e+09
400,1.96238e+09
401,1.96101e+09
402,1.96807e+09
403,1.93461e+09
404,1.91072e+09
405,1.94171e+09
406,1.95599e+09
407,1.96298e+09
408,1.95185e+09
409,1.9476e+09
410,1.96345e+09
411,1.94309e+09
412,1.95232e+09
413,1.95311e+09
414,1.95635e+09
415,1.94151e+09
416,1.92705e+09
417,1.94838e+09
418,1.9387e+09
419,1.94408e+09
420,1.95825e+09
421,1.93715e+09
422,1.95505e+09
423,1.95e+09
424,1.9537e+09
