n,flops_per_sec
332,3.41681e+09
333,3.43299e+09
334,3.70425e+09
335,3.45361e+09
336,3.23077e+09
337,3.03148e+09
338,3.23445e+09
339,3.25962e+09
340,3.49315e+09
341,2.88983e+09
342,3.2832e+09
343,3.28754e+09
344,3.54031e+09
345,3.31731e+09
346,3.11244e+09
347,3.33654e+09
348,3.34615e+09
349,3.35577e+09
350,3.36538e+09
351,3.35885e+09
352,3.17117e+09
353,3.39423e+09
354,3.38756e+09
355,3.39713e+09
356,3.1976e+09
357,3.43269e+09
358,3.4368e+09
359,3.43541e+09
360,3.46154e+09
361,3.45455e+09
362,3.48077e+09
363,3.49038e+09
364,3.5e+09
365,3.50962e+09
366,3.29235e+09
367,3.52885e+09
368,3.52153e+09
369,3.54808e+09
370,3.32335e+09
371,3.14407e+09
372,3.35135e+09
373,3.36036e+09
374,3.59615e+09
375,3.17348e+09
376,3.37725e+09
377,3.016e+09
378,3.63462e+09
379,3.64423e+09
380,3.65385e+09
381,3.64593e+09
382,3.67308e+09
383,3.68269e+09
384,3.072e+09
385,3.70192e+09
386,3.47748e+09
387,3.70335e+09
388,3.48503e+09
389,3.29661e+09
390,3.50299e+09
391,3.31356e+09
392,3.76923e+09
393,3.77885e+09
394,3.33898e+09
395,3.34746e+09
396,3.56757e+09
397,3.56587e+09
398,3.82692e+09
399,3.58383e+09
400,3.5982e+09
401,3.61261e+09
402,3.40678e+09
403,3.63063e+09
404,3.42373e+09
405,3.4322e+09
406,3.43583e+09
407,3.65569e+09
408,3.67568e+09
409,3.67916e+09
410,3.69369e+09
411,3.48305e+09
412,3.49153e+09
413,3.5e+09
414,3.50847e+09
415,3.51695e+09
416,3.74775e+09
417,3.52891e+09
418,3.54237e+09
419,3.352e+09
420,3.5543e+09
421,3.368e+09
422,3.57627e+09
423,3.58475e+09
424,3.59322e+09
425,3.60169e+09
426,3.61017e+09
427,3.61864e+09
428,3.424e+09
429,3.09004e+09
430,3.43542e+09
431,3.448e+09
432,3.456e+09
433,3.66949e+09
434,3.472e+09
435,3.68644e+09
436,3.69492e+09
437,3.50067e+09
438,3.504e+09
439,3.94903e+09
440,3.52e+09
441,3.73729e+09
442,3.536e+09
443,3.544e+09
444,3.76271e+09
445,3.56e+09
446,3.77433e+09
447,3.78814e+09
448,3.584e+09
449,3.40152e+09
450,3.6e+09
451,3.82203e+09
452,3.616e+09
453,3.624e+09
454,4.08396e+09
455,3.64e+09
456,3.45455e+09
457,3.656e+09
458,3.664e+09
459,3.672e+09
460,3.68e+09
461,3.688e+09
462,3.696e+09
463,3.51201e+09
464,3.712e+09
465,3.18857e+09
466,4.48077e+09
467,3.95763e+09
468,4.5e+09
469,3.96897e+09
470,3.76e+09
471,4.50718e+09
472,4.51675e+09
473,4.00847e+09
474,4.01695e+09
475,4.54545e+09
476,4.57692e+09
477,4.2973e+09
478,3.824e+09
479,4.05932e+09
480,4.61538e+09
481,4.07627e+09
482,4.32934e+09
483,4.35135e+09
484,4.10169e+09
485,3.88518e+09
486,4.11864e+09
487,4.1213e+09
488,4.66986e+09
489,4.39222e+09
490,4.14669e+09
491,4.16102e+09
492,4.43243e+09
493,4.17797e+09
494,4.18644e+09
495,4.19492e+09
496,4.20339e+09
497,4.47076e+09
498,4.21439e+09
499,4.22881e+09
500,4.23131e+09
501,4.008e+09
502,4.016e+09
503,4.2567e+09
504,4.27119e+09
505,4.04e+09
506,4.55172e+09
507,4.056e+09
508,4.064e+09
509,4.58559e+09
510,4.08e+09
511,4.33051e+09
512,1.024e+09
